Topic,Username,Text,Sentiment,CleanText1,Prediction,CleanText2,CleanText3
my-home-transform-to-ceca-village-already.6426974/,charliebrown,"returning home. drop at tanah merah mrt walk back home.
at the empty field there ceca playing cricket.
walk by e park, entire playground 70% ceca kid running wildly around without control. remaining 30% white people or non local. no stupid singaporean. another kid group starting cricket at play ground as well. 
e sight make me damn depressed at end of work day. 
m i still at home or some part of india?",Negative,returning home drop at tanah merah mrt walk back home at the empty field there ceca playing cricket walk by e park entire playground  ceca kid running wildly around without control remaining  white people or non local no stupid singaporean another kid group starting cricket at play ground as well  e sight make me damn depressed at end of work day  m i still at home or some part of india,Negative,returning home drop tanah merah mrt walk back home empty field ceca playing cricket walk e park entire playground ceca kid running wildly around without control remaining white people non local stupid singaporean another kid group starting cricket play ground well e sight make damn depressed end work day still home part india,returning home drop tanah merah mrt walk back home empty field  playing cricket walk e park entire playground  kid running wildly around without control remaining white people non local stupid singaporean another kid group starting cricket play ground well e sight make damn depressed end work day still home part india
my-home-transform-to-ceca-village-already.6426974/,Nigell,"Please show the proper respect.
These kids will be the CEOs and managers of your kids.
And your daughter will want very much to marry them as well.",Positive,please show the proper respect these kids will be the ceos and managers of your kids and your daughter will want very much to marry them as well,Positive,please show proper respect kids ceos managers kids daughter want much marry well,please show proper respect kids ceos managers kids daughter want much marry well
my-home-transform-to-ceca-village-already.6426974/,charliebrown,"well done everybody. 
we r on e right direction.
i can see e east coast plan... ",Negative,well done everybody  we r on e right direction i can see e east coast plan ,Negative,well done everybody r e right direction see e east coast plan,well done everybody r e right direction see e east coast plan
my-home-transform-to-ceca-village-already.6426974/,Mgtowyolo,Ya la. The most valuable skill may soon be know how to cook biryani and prata,Negative,ya la the most valuable skill may soon be know how to cook biryani and prata,Negative,ya la valuable skill may soon know cook biryani prata,ya la valuable skill may soon know cook biryani prata
my-home-transform-to-ceca-village-already.6426974/,Nigell,"Send your children for Hindu lessons.
That will be the pre requisite for IT and banking industries.",Negative,send your children for hindu lessons that will be the pre requisite for it and banking industries,Negative,send children hindu lessons pre requisite banking industries,send children hindu lessons pre requisite banking industries
my-home-transform-to-ceca-village-already.6426974/,AYAYAngry,"Me think singapore kids busy studying where got time to pray?
Also where the xiong? ",Neutral,me think singapore kids busy studying where got time to pray also where the xiong ,Neutral,think singapore kids busy studying got time pray also xiong,think singapore kids busy studying got time pray also xiong
my-home-transform-to-ceca-village-already.6426974/,laopokcar_g,CECApura oh CECApura,Negative,cecapura oh cecapura,Negative,cecapura oh cecapura,pura oh pura
my-home-transform-to-ceca-village-already.6426974/,Cut_throat,Tanah Merah there got more condo and semi-d. So I think no ethnic quota like HDB areas? I know last time near tanah merah to bedok there is cemetery. Very dirty last time during night time.,Neutral,tanah merah there got more condo and semid so i think no ethnic quota like hdb areas i know last time near tanah merah to bedok there is cemetery very dirty last time during night time,Negative,tanah merah got condo semid think ethnic quota like hdb areas know last time near tanah merah bedok cemetery dirty last time night time,tanah merah got condo semid think ethnic quota like hdb areas know last time near tanah merah bedok cemetery dirty last time night time
my-home-transform-to-ceca-village-already.6426974/,Redberries,"My area here also... Playground had alot of CECA kids playing.
Singaporeans not giving birth... 
Or men's expectation high, girl's expectation high also.. All not married.",Neutral,my area here also playground had alot of ceca kids playing singaporeans not giving birth  or men is expectation high girl is expectation high also all not married,Negative,area also playground alot ceca kids playing singaporeans giving birth men expectation high girl expectation high also married,area also playground alot  kids playing singaporeans giving birth men expectation high girl expectation high also married
my-home-transform-to-ceca-village-already.6426974/,cet87,"Saw my FB tamil friend post, no tamil course because not enough headcount.",Neutral,saw my fb tamil friend post no tamil course because not enough headcount,Neutral,saw fb tamil friend post tamil course enough headcount,saw fb tamil friend post tamil course enough headcount
