Topic,Username,Text,Sentiment,clean_text_1,clean_text_2,clean_text_3,Prediction
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,euko82,"



happy now fucking singaporeans  ",Negative,    happy now fucking singaporeans  ,happy fucking singaporeans,happy fucking singaporeans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,canot_like that_lah,Give him 66k.,Neutral,give him ,give,give,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,silentears,ask ramlesh how much he get,Neutral,ask ramlesh how much he get,ask ramlesh much get,ask ramlesh much get,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,eyz,"ceca preventing another ceca from coming, so that he/she can get the job.",Negative,ceca preventing another ceca from coming so that heshe can get the job,ceca preventing another ceca coming heshe get job, preventing another  coming heshe get job,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,netzach,"Every single fucking indian is 1 too many. 
Every 1 of those fucking guys = 1 lesser job for qualified Singaporeans.",Negative,every single fucking indian is  too many  every  of those fucking guys   lesser job for qualified singaporeans,every single fucking indian many every fucking guys lesser job qualified singaporeans,every single fucking indian many every fucking guys lesser job qualified singaporeans,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,williewombat615,"Wow, singaporeans spicy 5k jobs!

Transportation expensive meh? Bus and MRT are rather affordable, compared to other countries.",Neutral,wow singaporeans spicy  jobs  transportation expensive meh bus and mrt are rather affordable compared to other countries,wow singaporeans spicy jobs transportation expensive meh bus mrt rather affordable compared countries,wow singaporeans spicy jobs transportation expensive meh bus mrt rather affordable compared countries,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,Successor.,42yo only 5 years exp? That is a big red flag,Negative, only  years exp that is a big red flag,years exp big red flag,years exp big red flag,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,blong,I know for a fact that there are plenty of Singaporeans earning way way less than that and they can survive in Singapore.,Neutral,i know for a fact that there are plenty of singaporeans earning way way less than that and they can survive in singapore,know fact plenty singaporeans earning way way less survive singapore,know fact plenty singaporeans earning way way less survive singapore,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,BaChorMee,"





 .



Full of snake pattern !",Negative,           full of snake pattern ,full snake pattern,full snake pattern,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,Neon92,so fake cecas,Negative,so fake cecas,fake cecas,fake s,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,BaChorMee," 




Meanwhile govt encouraging singaporeans to be hawker ",Negative,      meanwhile govt encouraging singaporeans to be hawker ,meanwhile govt encouraging singaporeans hawker,meanwhile govt encouraging singaporeans hawker,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,stewpig,"But its true 5k for bachelor is okay but with family its very tough.

singaporeans who earn 5k are stayiing bto or with prents",Positive,but its true  for bachelor is okay but with family its very tough  singaporeans who earn  are stayiing bto or with prents,true bachelor okay family tough singaporeans earn stayiing bto prents,true bachelor okay family tough singaporeans earn stayiing bto prents,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,LetsGoBoys!,5k only! go anywhere sell curry also can earn more ok!,Neutral, only go anywhere sell curry also can earn more ok,go anywhere sell curry also earn ok,go anywhere sell curry also earn ok,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,HappyCanOrNot,"If ceca can get $5k, we should demand $10k",Negative,if ceca can get  we should demand ,ceca get demand, get demand,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,roronoa_zoro,Many singaporeans cant even reach 5k after working 5 years. What makes him better,Negative,many singaporeans cant even reach  after working  years what makes him better,many singaporeans cant even reach working years makes better,many singaporeans cant even reach working years makes better,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,heroking,"his PHD and masters from germany
why dont want work in germany?",Negative,his phd and masters from germany why dont want work in germany,phd masters germany dont want work germany,phd masters germany dont want work germany,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,huihong,"


                


Lol first of all his degree don't know legit or not

Secondly ask ceca go germany work, he can endure everyday eat german food a not.

Die die must get a job in SG, government take care and the ceca community here thriving.

",Negative,                      lol first of all his degree do not know legit or not  secondly ask ceca go germany work he can endure everyday eat german food a not  die die must get a job in sg government take care and the ceca community here thriving  ,lol first degree know legit secondly ask ceca go germany work endure everyday eat german food die die must get job sg government take care ceca community thriving,lol first degree know legit secondly ask  go germany work endure everyday eat german food die die must get job sg government take care  community thriving,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/,Illusionist_85,good salary if using fake certs ,Negative,good salary if using fake certs ,good salary using fake certs,good salary using fake certs,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,crazycow,For his qualifications even with fake cert and experience 5K still quite low,Positive,for his qualifications even with fake cert and experience  still quite low,qualifications even fake cert experience still quite low,qualifications even fake cert experience still quite low,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,nymous,"




Come singapore can boss singaporean and take over singapore.. in germany, white people will slap him lf dare make problem",Negative,     come singapore can boss singaporean and take over singapore in germany white people will slap him lf dare make problem,come singapore boss singaporean take singapore germany white people slap lf dare make problem,come singapore boss singaporean take singapore germany white people slap lf dare make problem,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,Nevereatrice,"


5k is too less this type of English i hope their certs are not fake",Negative,    is too less this type of english i hope their certs are not fake,less type english hope certs fake,less type english hope certs fake,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,flying.elephant,"

can speak hindi. easier

also, being ceca auto confer government and media protection

",Neutral,  can speak hindi easier  also being ceca auto confer government and media protection  ,speak hindi easier also ceca auto confer government media protection,speak hindi easier also  auto confer government media protection,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,joypad2009,"



Maybe he meant bought from German website.",Negative,    maybe he meant bought from german website,maybe meant bought german website,maybe meant bought german website,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,thumbtacked,"

My boss received a CV from a ceca before. Straight to the trash.",Negative,  my boss received a cv from a ceca before straight to the trash,boss received cv ceca straight trash,boss received cv  straight trash,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,gld998,"maybe this guy can speak German more fluently?  Masters and PhD from Germany

",Neutral,maybe this guy can speak german more fluently  masters and phd from germany  ,maybe guy speak german fluently masters phd germany,maybe guy speak german fluently masters phd germany,Neutral
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,busfreaks,"


Even ceca also admit can come in and go back as and when. Is he saying the truth or else how come no one pofma him?",Negative,   even ceca also admit can come in and go back as and when is he saying the truth or else how come no one pofma him,even ceca also admit come go back saying truth else come one pofma,even  also admit come go back saying truth else come one pofma,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,Nevereatrice,"

Because sg already invaded by them and the core deeply corrupted especially hr. They look over one another got opportunities will pull their village in with high wages. 
Germany got this ceca treaty nonsense?",Negative,  because sg already invaded by them and the core deeply corrupted especially hr they look over one another got opportunities will pull their village in with high wages  germany got this ceca treaty nonsense,sg already invaded core deeply corrupted especially hr look one another got opportunities pull village high wages germany got ceca treaty nonsense,sg already invaded core deeply corrupted especially hr look one another got opportunities pull village high wages germany got  treaty nonsense,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,netzach,"fuck the indians and their printed fake qualifications. 
Every 1 More indian is 1 lesser job opportunity for a qualified Singaporean. 

Period.
",Negative,fuck the indians and their printed fake qualifications  every  more indian is  lesser job opportunity for a qualified singaporean   period ,fuck indians printed fake qualifications every indian lesser job opportunity qualified singaporean period,fuck indians printed fake qualifications every indian lesser job opportunity qualified singaporean period,Negative
company-in-singapore-want-to-employ-ceca-for-5k-others-ceca-say-pay-too-low.6466737/page-2,theMKR,5k is really too low,Positive, is really too low,really low,really low,Positive
